,Unnamed: 0,Timestamp,PV_profile 2,PV_profile 5,PV_profile 6,PV_profile 3,PV_profile 4,PV_profile 7,PV_profile 1,WD 1,R210 Load,X84_1 MV Load_x,X84_1 MV Load_y,R1,R2,R3,R4,R5,R6
3018,3403,2021-05-04 13:45:00,0.1927437641723356,0.119047619047619,0.1185308848080133,0.12625250501002,0.1206543967280163,0.1284674063800277,0.1168831168831168,0.2602443377053372,0.2462751897551949,0.2285714285714286,0.8108108108108107,0.9997824303622328,0.9943627876016096,0.0603057724148192,0.0069619071672024,0.015740566734619,0.0414154362725755
3019,3404,2021-05-04 14:00:00,0.1111111111111111,0.1853741496598639,0.1836393989983305,0.1803607214428857,0.1820040899795501,0.2012829403606102,0.1801948051948051,0.2784723915733313,0.2112182226329049,0.2571428571428572,0.8108108108108107,0.9997835173549452,0.9944231991446524,0.0408866266356044,0.0227887501951961,0.0001738706830831,0.0079672811751433
3020,3405,2021-05-04 14:15:00,0.0975056689342403,0.2670068027210884,0.2654424040066778,0.2565130260521042,0.2576687116564417,0.2876213592233009,0.262987012987013,0.2693408945012406,0.235758099618508,0.2571428571428572,0.8378378378378378,0.9998001653802056,0.9943695205042272,0.0162116043755076,0.0209731411701761,0.0002845161654358,0.0076801410270112
3021,3406,2021-05-04 14:30:00,0.1224489795918367,0.1666666666666666,0.1652754590984975,0.1422845691382765,0.1431492842535787,0.1796116504854369,0.1639610389610389,0.2886063020780027,0.2585451368057818,0.2571428571428572,0.8108108108108107,0.9998080556819964,0.9943626120819964,0.022520317795342,0.0006018509584263,0.0020969852697885,0.0081467159091809
3022,3407,2021-05-04 14:45:00,0.1768707482993197,0.1530612244897959,0.1535893155258764,0.1783567134268537,0.1717791411042944,0.1627947295423023,0.1509740259740259,0.335468881440823,0.2322524029062792,0.2285714285714286,0.8378378378378378,0.9997836382288928,0.9944298982883252,0.0415206088126972,0.0094208468535824,0.0212262741452028,0.0078595832976741
3023,3408,2021-05-04 15:00:00,0.2018140589569161,0.1581632653061224,0.1569282136894824,0.2324649298597194,0.2229038854805726,0.1683425797503467,0.1558441558441558,0.5042881604301048,0.2243645895826564,0.2571428571428572,0.8108108108108107,0.9997837721284716,0.9943680870480432,0.0638431885855471,0.0016470765973821,0.0264704962608563,0.0079672994783258
3024,3409,2021-05-04 15:15:00,0.1496598639455782,0.1904761904761904,0.1936560934891485,0.250501002004008,0.2413087934560327,0.2057905686546463,0.1915584415584415,0.531008521744587,0.2611743965032758,0.2571428571428572,0.7837837837837838,0.999782572130668,0.9943624114820856,0.0313653132458983,0.0008439695654622,0.0410615855883586,0.0074827833837598
3025,3410,2021-05-04 15:30:00,0.1541950113378684,0.1598639455782313,0.1602671118530884,0.218436873747495,0.2126789366053169,0.1712898751733703,0.1590909090909091,0.595024501299823,0.3172655438989397,0.2285714285714286,0.8108108108108107,0.999782584318259,0.9944238363102244,0.0430888432019827,0.0095382706679901,0.0329511318157343,0.0407283835947385
3026,3411,2021-05-04 15:45:00,0.1360544217687074,0.1326530612244898,0.1318864774624374,0.1783567134268537,0.1779141104294478,0.1458044382801664,0.1298701298701298,0.6682294532488093,0.2611743965032758,0.2571428571428572,0.8108108108108107,0.9997821242695394,0.9943756323102192,0.0314141643128316,0.0094926968840716,0.0002739777111992,0.0079903477099706
3027,3412,2021-05-04 16:00:00,0.1723356009070294,0.1394557823129251,0.1368948247078464,0.1863727454909819,0.1820040899795501,0.154126213592233,0.1331168831168831,0.6634630804448115,0.2550394400935529,0.2285714285714286,0.7837837837837838,0.999784195714197,0.9943633141675268,0.0149524799340117,0.0045318180396099,0.0007218261054427,0.0075674280769379
